file,filesize,name,field_54,field_58,field_5c,field_60,field_64,heightmap_side,final_fractal_size,header_end_offset,bytes_after_header,expected_bytes_after_header,size_formula_matches
SCAPE1.DAT,666,Erosion I,1,3,50,80,2,10,129,42,624,624,True
SCAPE10.DAT,1342,Mount Olympus,0,3,10,80,1,18,257,46,1296,1296,True
SCAPE11.DAT,661,Test,1,3,0,80,1,10,129,37,624,624,True
SCAPE12.DAT,1337,Fun Mesa,0,3,80,50,1,18,257,41,1296,1296,True
SCAPE124.DAT,669,Random Lakes,1,3,90,50,2,10,129,45,624,624,True
SCAPE13.DAT,1340,Big Fissure,1,3,10,80,1,18,257,44,1296,1296,True
SCAPE14.DAT,1308,Fun Fissure,1,3,10,80,1,18,257,44,1264,1296,False
SCAPE15.DAT,670,Router World,1,3,80,30,1,10,129,45,625,624,False
SCAPE16.DAT,671,Running Canyon,1,3,80,30,1,10,129,47,624,624,True
SCAPE17.DAT,661,Wild,1,3,80,30,1,10,129,37,624,624,True
SCAPE18.DAT,674,Even Distribution,1,3,50,80,2,10,129,50,624,624,True
SCAPE19.DAT,1343,Running Stream,0,3,20,80,1,18,257,47,1296,1296,True
SCAPE2.DAT,668,Cliff World,1,3,80,30,1,10,129,44,624,624,True
SCAPE20.DAT,1341,Running Lava,0,3,20,80,1,18,257,45,1296,1296,True
SCAPE21.DAT,673,Running Canyon 2,1,3,80,30,1,10,129,49,624,624,True
SCAPE22.DAT,667,Mandlebrot,1,3,80,30,1,10,129,43,624,624,True
SCAPE23.DAT,672,Mandlebrot Maze,1,3,80,30,1,10,129,48,624,624,True
SCAPE24.DAT,1339,Lake World,0,3,80,30,1,18,257,43,1296,1296,True
SCAPE3.DAT,1341,Crater World,0,3,80,30,1,18,257,45,1296,1296,True
SCAPE4.DAT,672,Many Tiny Peaks,1,3,0,80,1,10,129,48,624,624,True
SCAPE5.DAT,667,Erosion II,1,3,50,80,3,10,129,43,624,624,True
SCAPE6.DAT,3840,Twisty Passages,0,3,50,80,3,34,513,48,3792,3792,True
SCAPE7.DAT,661,Flat,1,3,0,80,1,10,129,37,624,624,True
SCAPE8.DAT,1339,Maze World,0,3,80,50,1,18,257,43,1296,1296,True
SCAPE88.DAT,685,Special TRndInitSurface file,1,3,40,80,2,10,129,61,624,624,True
SCAPE9.DAT,1341,Great Divide,1,3,10,80,1,18,257,45,1296,1296,True
SCAPE99.DAT,693,Special MULTIPLAYER Ore surface file,1,3,127,0,2,10,129,69,624,624,True
