file,filesize,magic,field_04,field_08a,field_08b,byte_0x0C,byte_0x0D,byte_0x0E,byte_0x0F
S1P1.DAT,837,0xabbaabba,9,88,7,0,48,0,8
S1P2.DAT,1013,0xabbaabba,2,101,7,0,39,0,8
S1P3.DAT,869,0xabbaabba,2,92,13,0,48,0,8
S1P4.DAT,821,0xabbaabba,6,443,13,0,54,66,8
S1P5.DAT,1053,0xabbaabba,4,103,3,0,31,0,8
S1P6.DAT,789,0xabbaabba,5,636,13,0,48,0,8
S1P7.DAT,829,0xabbaabba,6,414,7,0,42,0,8
S2P1.DAT,861,0xabbaabba,7,498,5,0,48,0,8
S2P10.DAT,861,0xabbaabba,16,541,5,0,48,0,8
S2P11.DAT,885,0xabbaabba,13,66,7,0,30,0,8
S2P12.DAT,869,0xabbaabba,18,80,3,0,41,0,8
S2P13.DAT,901,0xabbaabba,19,69,3,0,31,0,8
S2P2.DAT,877,0xabbaabba,18,69,3,0,34,0,8
S2P3.DAT,893,0xabbaabba,1,121,7,0,40,0,8
S2P4.DAT,837,0xabbaabba,10,110,5,0,48,0,8
S2P5.DAT,821,0xabbaabba,11,75,3,0,42,0,8
S2P6.DAT,845,0xabbaabba,12,91,3,0,40,0,8
S2P7.DAT,1141,0xabbaabba,13,104,3,0,31,0,8
S2P8.DAT,821,0xabbaabba,20,501,5,0,48,0,8
S2P9.DAT,813,0xabbaabba,19,407,3,0,42,0,8
S3P1.DAT,845,0xabbaabba,14,84,13,0,48,0,8
S3P2.DAT,957,0xabbaabba,16,112,7,0,45,0,8
S3P3.DAT,829,0xabbaabba,3,511,13,0,48,0,8
