record_index,tile_art_index,back_bar_color,main_bar_color,front_bar_color
0,0,129,135,141
0,1,129,135,141
0,2,129,135,141
0,3,129,135,141
0,4,129,135,141
0,5,129,135,141
0,6,129,135,141
0,7,129,135,141
0,8,129,135,141
0,9,129,135,141
0,10,129,135,141
0,11,129,135,141
0,12,129,135,141
0,13,129,135,141
0,14,129,135,141
1,0,82,113,141
1,1,82,113,141
1,2,106,154,186
1,3,106,154,186
1,4,24,33,38
1,5,24,33,38
1,6,24,33,38
1,7,24,33,38
1,8,24,33,38
1,9,24,33,38
1,10,23,29,40
1,11,23,29,40
1,12,23,29,40
1,13,80,20,26
1,14,80,20,26
2,0,136,192,191
2,1,136,192,191
2,2,136,192,191
2,3,136,192,191
2,4,136,192,191
2,5,136,192,191
2,6,136,192,191
2,7,136,192,191
2,8,136,192,191
2,9,136,192,191
2,10,136,192,191
2,11,136,192,191
2,12,136,192,191
2,13,136,192,191
2,14,136,192,191
3,0,160,165,41
3,1,160,165,41
3,2,160,165,41
3,3,160,165,41
3,4,160,165,41
3,5,160,165,41
3,6,160,165,41
3,7,160,165,41
3,8,160,165,41
3,9,160,165,41
3,10,160,165,41
3,11,160,165,41
3,12,160,165,41
3,13,160,165,41
3,14,160,165,41
4,0,23,29,40
4,1,23,29,40
4,2,23,29,40
4,3,23,29,40
4,4,23,29,40
4,5,24,210,38
4,6,24,210,38
4,7,24,210,38
4,8,24,210,38
4,9,24,210,38
4,10,24,210,38
4,11,24,210,38
4,12,24,210,38
4,13,24,210,38
4,14,24,210,38
5,0,116,32,39
5,1,116,32,39
5,2,116,32,39
5,3,116,32,39
5,4,116,32,39
5,5,116,32,39
5,6,116,32,39
5,7,116,32,39
5,8,116,32,39
5,9,116,32,39
5,10,116,32,39
5,11,116,32,39
5,12,116,32,39
5,13,116,32,39
5,14,116,32,39
6,0,22,29,37
6,1,22,29,37
6,2,22,29,37
6,3,22,29,37
6,4,22,24,29
6,5,22,24,29
6,6,214,213,24
6,7,214,213,24
6,8,214,213,24
6,9,214,213,24
6,10,214,213,24
6,11,214,213,24
6,12,214,213,24
6,13,214,213,24
6,14,214,213,24
7,0,179,158,73
7,1,179,158,73
7,2,179,158,73
7,3,179,158,73
7,4,179,158,73
7,5,179,158,73
7,6,179,158,73
7,7,179,158,73
7,8,179,158,73
7,9,179,158,73
7,10,179,158,73
7,11,179,158,73
7,12,179,158,73
7,13,179,158,73
7,14,179,158,73
8,0,113,200,141
8,1,113,200,141
8,2,113,200,141
8,3,113,200,141
8,4,113,200,141
8,5,113,200,141
8,6,113,200,141
8,7,113,200,141
8,8,113,200,141
8,9,113,200,141
8,10,113,200,141
8,11,113,200,141
8,12,113,200,141
8,13,113,200,141
8,14,113,200,141
9,0,104,129,141
9,1,104,129,141
9,2,104,129,141
9,3,104,129,141
9,4,104,129,141
9,5,104,129,141
9,6,23,29,40
9,7,23,29,40
9,8,23,29,40
9,9,23,29,40
9,10,23,29,40
9,11,82,113,141
9,12,82,113,141
9,13,82,113,141
9,14,82,113,141
10,0,116,32,39
10,1,116,32,39
10,2,116,32,39
10,3,116,32,39
