record_index,tile_art_index,hex_facing_0to7,fog_palette_index
0,0,0,123
0,0,1,123
0,0,2,123
0,0,3,123
0,0,4,123
0,0,5,123
0,0,6,123
0,0,7,123
0,1,0,113
0,1,1,113
0,1,2,113
0,1,3,113
0,1,4,113
0,1,5,113
0,1,6,113
0,1,7,113
0,2,0,125
0,2,1,125
0,2,2,125
0,2,3,125
0,2,4,125
0,2,5,125
0,2,6,125
0,2,7,125
0,3,0,129
0,3,1,129
0,3,2,129
0,3,3,129
0,3,4,129
0,3,5,129
0,3,6,129
0,3,7,129
0,4,0,129
0,4,1,129
0,4,2,129
0,4,3,129
0,4,4,129
0,4,5,129
0,4,6,129
0,4,7,129
0,5,0,129
0,5,1,129
0,5,2,129
0,5,3,129
0,5,4,129
0,5,5,129
0,5,6,129
0,5,7,129
0,6,0,28
0,6,1,28
0,6,2,28
0,6,3,28
0,6,4,28
0,6,5,28
0,6,6,28
0,6,7,28
0,7,0,27
0,7,1,27
0,7,2,27
0,7,3,27
0,7,4,27
0,7,5,27
0,7,6,27
0,7,7,27
0,8,0,123
0,8,1,123
0,8,2,123
0,8,3,123
0,8,4,123
0,8,5,123
0,8,6,123
0,8,7,123
0,9,0,123
0,9,1,123
0,9,2,123
0,9,3,123
0,9,4,123
0,9,5,123
0,9,6,123
0,9,7,123
0,10,0,27
0,10,1,27
0,10,2,27
0,10,3,27
0,10,4,27
0,10,5,27
0,10,6,27
0,10,7,27
0,11,0,26
0,11,1,26
0,11,2,26
0,11,3,26
0,11,4,26
0,11,5,26
0,11,6,26
0,11,7,26
0,12,0,29
0,12,1,29
0,12,2,29
0,12,3,29
0,12,4,29
0,12,5,29
0,12,6,29
0,12,7,29
0,13,0,29
0,13,1,29
0,13,2,29
0,13,3,29
0,13,4,29
0,13,5,29
0,13,6,29
0,13,7,29
0,14,0,29
0,14,1,29
0,14,2,29
0,14,3,29
0,14,4,29
0,14,5,29
0,14,6,29
0,14,7,29
1,0,0,19
1,0,1,19
1,0,2,19
1,0,3,19
1,0,4,19
1,0,5,19
1,0,6,19
1,0,7,19
1,1,0,93
1,1,1,93
1,1,2,93
1,1,3,93
1,1,4,93
1,1,5,93
1,1,6,93
1,1,7,93
1,2,0,125
1,2,1,125
1,2,2,125
1,2,3,125
1,2,4,125
1,2,5,125
1,2,6,125
1,2,7,125
1,3,0,179
1,3,1,179
1,3,2,179
1,3,3,179
1,3,4,179
1,3,5,179
1,3,6,179
1,3,7,179
1,4,0,28
1,4,1,28
1,4,2,28
1,4,3,28
1,4,4,28
1,4,5,28
1,4,6,28
1,4,7,28
1,5,0,131
1,5,1,131
1,5,2,131
1,5,3,131
1,5,4,131
1,5,5,131
1,5,6,131
1,5,7,131
1,6,0,130
1,6,1,130
1,6,2,130
1,6,3,130
1,6,4,130
1,6,5,130
1,6,6,130
1,6,7,130
1,7,0,130
1,7,1,130
1,7,2,130
1,7,3,130
1,7,4,130
1,7,5,130
1,7,6,130
1,7,7,130
1,8,0,138
1,8,1,138
1,8,2,138
1,8,3,138
1,8,4,138
1,8,5,138
1,8,6,138
1,8,7,138
1,9,0,138
1,9,1,138
1,9,2,138
1,9,3,138
1,9,4,138
1,9,5,138
1,9,6,138
1,9,7,138
1,10,0,26
1,10,1,26
1,10,2,26
1,10,3,26
1,10,4,26
1,10,5,26
1,10,6,26
1,10,7,26
1,11,0,28
1,11,1,28
1,11,2,28
1,11,3,28
1,11,4,28
1,11,5,28
1,11,6,28
1,11,7,28
1,12,0,22
1,12,1,22
1,12,2,22
1,12,3,22
1,12,4,22
1,12,5,22
1,12,6,22
1,12,7,22
1,13,0,214
1,13,1,214
1,13,2,214
1,13,3,214
1,13,4,214
1,13,5,214
1,13,6,214
1,13,7,214
1,14,0,17
1,14,1,17
1,14,2,17
1,14,3,17
1,14,4,17
1,14,5,17
1,14,6,17
1,14,7,17
2,0,0,141
2,0,1,141
2,0,2,141
2,0,3,141
2,0,4,141
2,0,5,141
2,0,6,141
2,0,7,141
2,1,0,135
2,1,1,135
2,1,2,135
2,1,3,135
2,1,4,135
2,1,5,135
2,1,6,135
2,1,7,135
2,2,0,141
2,2,1,141
2,2,2,141
2,2,3,141
2,2,4,141
2,2,5,141
2,2,6,141
2,2,7,141
2,3,0,141
2,3,1,141
2,3,2,141
2,3,3,141
2,3,4,141
2,3,5,141
2,3,6,141
2,3,7,141
2,4,0,135
2,4,1,135
2,4,2,135
2,4,3,135
2,4,4,135
2,4,5,135
2,4,6,135
2,4,7,135
2,5,0,135
2,5,1,135
2,5,2,135
2,5,3,135
2,5,4,135
2,5,5,135
2,5,6,135
2,5,7,135
2,6,0,141
2,6,1,141
2,6,2,141
2,6,3,141
2,6,4,141
2,6,5,141
2,6,6,141
2,6,7,141
2,7,0,141
2,7,1,141
2,7,2,141
2,7,3,141
2,7,4,141
2,7,5,141
2,7,6,141
2,7,7,141
2,8,0,186
2,8,1,186
2,8,2,186
2,8,3,186
2,8,4,186
2,8,5,186
2,8,6,186
2,8,7,186
2,9,0,193
2,9,1,193
2,9,2,193
2,9,3,193
2,9,4,193
2,9,5,193
2,9,6,193
2,9,7,193
2,10,0,189
2,10,1,189
2,10,2,189
2,10,3,189
2,10,4,189
2,10,5,189
2,10,6,189
2,10,7,189
2,11,0,188
2,11,1,188
2,11,2,188
2,11,3,188
2,11,4,188
2,11,5,188
2,11,6,188
2,11,7,188
2,12,0,136
2,12,1,136
2,12,2,136
2,12,3,136
2,12,4,136
2,12,5,136
2,12,6,136
2,12,7,136
2,13,0,136
2,13,1,136
2,13,2,136
2,13,3,136
2,13,4,136
2,13,5,136
2,13,6,136
2,13,7,136
2,14,0,200
2,14,1,200
2,14,2,200
2,14,3,200
2,14,4,200
2,14,5,200
2,14,6,200
2,14,7,200
3,0,0,223
3,0,1,223
3,0,2,222
3,0,3,172
3,0,4,172
3,0,5,172
3,0,6,34
3,0,7,133
3,1,0,222
3,1,1,172
3,1,2,170
3,1,3,170
3,1,4,133
3,1,5,133
3,1,6,170
3,1,7,133
3,2,0,222
3,2,1,222
3,2,2,221
3,2,3,170
3,2,4,170
3,2,5,133
3,2,6,133
3,2,7,133
3,3,0,223
3,3,1,139
3,3,2,221
3,3,3,172
3,3,4,170
3,3,5,133
3,3,6,133
3,3,7,133
3,4,0,139
3,4,1,222
3,4,2,221
3,4,3,170
3,4,4,170
3,4,5,168
3,4,6,133
3,4,7,127
3,5,0,223
3,5,1,223
3,5,2,222
3,5,3,172
3,5,4,170
3,5,5,170
3,5,6,133
3,5,7,127
3,6,0,223
3,6,1,139
3,6,2,222
3,6,3,172
3,6,4,170
3,6,5,133
3,6,6,133
3,6,7,127
3,7,0,223
3,7,1,223
3,7,2,222
3,7,3,221
3,7,4,170
3,7,5,133
3,7,6,127
3,7,7,165
3,8,0,223
3,8,1,223
3,8,2,139
3,8,3,172
3,8,4,170
3,8,5,133
3,8,6,127
3,8,7,165
3,9,0,223
3,9,1,223
3,9,2,139
3,9,3,221
3,9,4,170
3,9,5,133
3,9,6,127
3,9,7,165
3,10,0,223
3,10,1,223
3,10,2,222
3,10,3,170
3,10,4,170
3,10,5,127
3,10,6,165
3,10,7,165
3,11,0,223
3,11,1,222
3,11,2,221
3,11,3,170
3,11,4,168
3,11,5,165
3,11,6,165
3,11,7,165
3,12,0,222
3,12,1,221
3,12,2,170
3,12,3,168
3,12,4,165
3,12,5,165
3,12,6,165
3,12,7,163
3,13,0,139
3,13,1,170
3,13,2,168
3,13,3,165
3,13,4,165
3,13,5,165
3,13,6,163
3,13,7,162
3,14,0,170
3,14,1,170
3,14,2,132
3,14,3,165
3,14,4,165
3,14,5,164
3,14,6,162
3,14,7,162
4,0,0,10
4,0,1,10
4,0,2,10
4,0,3,10
4,0,4,10
4,0,5,10
4,0,6,10
4,0,7,10
4,1,0,173
4,1,1,173
4,1,2,173
4,1,3,173
4,1,4,173
4,1,5,173
4,1,6,173
4,1,7,173
4,2,0,29
4,2,1,29
4,2,2,29
4,2,3,29
4,2,4,29
4,2,5,29
4,2,6,29
4,2,7,29
4,3,0,131
4,3,1,131
4,3,2,131
4,3,3,131
4,3,4,131
4,3,5,131
4,3,6,131
4,3,7,131
4,4,0,129
4,4,1,129
4,4,2,129
4,4,3,129
4,4,4,129
4,4,5,129
4,4,6,129
4,4,7,129
4,5,0,130
4,5,1,130
4,5,2,130
4,5,3,130
4,5,4,130
4,5,5,130
4,5,6,130
4,5,7,130
4,6,0,130
4,6,1,130
4,6,2,130
4,6,3,130
4,6,4,130
4,6,5,130
4,6,6,130
4,6,7,130
4,7,0,138
4,7,1,138
4,7,2,138
4,7,3,138
4,7,4,138
4,7,5,138
4,7,6,138
4,7,7,138
4,8,0,138
4,8,1,138
4,8,2,138
4,8,3,138
4,8,4,138
4,8,5,138
4,8,6,138
4,8,7,138
4,9,0,134
4,9,1,134
4,9,2,134
4,9,3,134
4,9,4,134
4,9,5,134
4,9,6,134
4,9,7,134
4,10,0,126
4,10,1,126
4,10,2,126
4,10,3,126
4,10,4,126
4,10,5,126
4,10,6,126
4,10,7,126
4,11,0,126
4,11,1,126
4,11,2,126
4,11,3,126
4,11,4,126
4,11,5,126
4,11,6,126
4,11,7,126
4,12,0,131
4,12,1,131
4,12,2,131
4,12,3,131
4,12,4,131
4,12,5,131
4,12,6,131
4,12,7,131
4,13,0,131
4,13,1,131
4,13,2,131
4,13,3,131
4,13,4,131
4,13,5,131
4,13,6,131
4,13,7,131
4,14,0,33
4,14,1,33
4,14,2,33
4,14,3,33
4,14,4,33
4,14,5,33
4,14,6,33
4,14,7,33
5,0,0,33
5,0,1,31
5,0,2,29
5,0,3,29
5,0,4,29
5,0,5,28
5,0,6,211
5,0,7,211
5,1,0,33
5,1,1,31
5,1,2,29
5,1,3,29
5,1,4,29
5,1,5,28
5,1,6,27
5,1,7,27
5,2,0,31
5,2,1,29
5,2,2,29
5,2,3,29
5,2,4,28
5,2,5,211
5,2,6,27
5,2,7,26
5,3,0,29
5,3,1,28
5,3,2,27
5,3,3,27
5,3,4,27
5,3,5,26
5,3,6,26
5,3,7,24
5,4,0,28
5,4,1,211
5,4,2,26
5,4,3,26
5,4,4,26
5,4,5,24
5,4,6,24
5,4,7,23
5,5,0,28
5,5,1,211
5,5,2,27
5,5,3,27
5,5,4,26
5,5,5,26
5,5,6,24
5,5,7,24
5,6,0,28
5,6,1,27
5,6,2,26
5,6,3,26
5,6,4,26
5,6,5,24
5,6,6,24
5,6,7,23
5,7,0,28
5,7,1,211
5,7,2,27
5,7,3,27
5,7,4,26
5,7,5,24
5,7,6,24
5,7,7,24
5,8,0,31
5,8,1,29
5,8,2,28
5,8,3,28
5,8,4,211
5,8,5,27
5,8,6,27
5,8,7,26
5,9,0,32
5,9,1,31
5,9,2,29
5,9,3,29
5,9,4,29
5,9,5,28
5,9,6,28
5,9,7,27
5,10,0,33
5,10,1,32
5,10,2,31
5,10,3,31
5,10,4,31
5,10,5,29
5,10,6,29
5,10,7,28
