record_index,first_dword_0x00,world_tile_index_0x04,flavor_text_selector_0x0E,terrain_mode_flag_0x0F,flavor_text_selector_0x11,flavor_text_selector_0x16,flavor_text_selector_0x19,flavor_text_selector_0x54,raw_record_hex_104B
0,3735928559,0,1,13,88,4,4,117,efbeadde0000000000000f000a00010d05580000000004001404646464646464646464646464646464646464646464646464646464646464646464646464646464646464640000006400000064000000000000007500000008000000040000000200000010ff0eff
1,3735928559,1,5,1,88,1,0,93,efbeadde0100000000000f000a000501055800000000010000006464646464646464646464646464646464646464646464646464646464646464646464646464646464646400000096000000000000000a0000005d00000008000000050000000200000010ff0eff
2,3735928559,2,2,2,88,3,4,50,efbeadde0200000000000f000a00020212580000000003000a04646464646464646464646464646464646464646464646464646464646464646464646464646464646464640000006400000064000000000000003200000007000000050000000200000010ff0eff
3,3735928559,3,5,18,88,0,5,37,efbeadde0300000000000f000a0005120558000000000000ff056464646464646464646464646464646464646464646464646464646464646464646464646464646464646400000064000000c8000000000000002500000007000000050000000200000010ff0eff
4,3735928559,4,4,19,88,1,1,90,efbeadde0400000000000f000a0004130558000001000100000164646464646464647d646464646464646464646464646464646464646464646464646464646464646464640000006400000064000000000000005a00000006000000030000000100000010ff0eff
5,3735928559,5,1,3,88,0,4,52,efbeadde0500000000000f000a0001031258000000000000ff04646464646464646464646464646464646464646464646464646464646464646464646464646464646464640000006400000064000000000000003400000005000000030000000200000010ff0eff
6,3735928559,6,1,5,88,0,2,100,efbeadde0600000000000f000a0001050558000000000000ff0264646464646464c864646464646464646464646464646464646464646464646464646464646464646464640000006400000064000000000000006400000005000000020000000100000010000e00
7,3735928559,7,1,3,88,4,5,89,efbeadde0700000000000f000a000103125800000000040014056464646464646464646464646464646464646464646464646464646464646464646464646464646464646400000064000000c8000000000000005900000005000000020000000000000010ff0eff
8,3735928559,8,1,8,88,1,1,150,efbeadde0800000000000f000a0001080558000000000100000164646464646464647d646464646464646464646464646464646464646464646464646464646464646464640000006400000064000000000000009600000006000000010000000000000010ff0eff
9,3735928559,9,1,16,88,0,13,29,efbeadde0900000000000f000a0001100558000000000000ff0d646464646464646464646464646464646464646464646464646400646464646464646464646464646464640000006400000064000000000000001d00000006000000010000000000000010ff0eff
10,3735928559,10,1,16,88,0,14,103,efbeadde0a00000000000f000a0001101258000000000000ff0e646464646464646464646464646464646464646464646464640064646464646464646464646464646464640000006400000064000000000000006700000007000000020000000000000010ff0eff
11,3735928559,11,1,12,88,5,11,200,efbeadde0b00000000000f000a00010c055800000000050aff0b646464646464646464646464646464646464646464646464646464646464646464646464646464646464c8000000640000006400000000000000c800000007000000020000000100000010ff0eff
12,3735928559,12,5,3,88,5,2,110,efbeadde0c00000000000f000a000503015800000000050aff0264646464646464c864646464646464646464646464646464646464646464646464646464646464646464640000006400000064000000000000006e00000007000000030000000000000010ff0eff
13,3735928559,13,5,124,88,1,1,97,efbeadde0d00000000000f000a00057c0558000000000100000164646464646464647d646464646464646464646464646464646464646464646464646464646464646464640000006400000064000000000000006100000008000000030000000000000010ff0eff
14,3735928559,14,1,9,88,4,10,44,efbeadde0e00000000000f000a0001090558000000000400140a646464646464646464646464646464646464646464646464646464646464646464646464006464646464640000006400000064000000000000002c00000008000000030000000000000010ff0eff
15,3735928559,15,1,22,88,5,6,63,efbeadde0f00000000000f000a000116055800000000050aff0664646464646464324b646464646464646464646464646464326464323232646464646464646464646464640000006400000064000000000000003f00000008000000040000000000000010ff0eff
16,3735928559,16,1,23,88,5,10,33,efbeadde1000000000000f000a000117055800000000050aff0a646464646464646464646464646464646464646464646464646464646464646464646464006464646464640000006400000064000000000000002100000008000000040000000000000010ff0eff
17,3735928559,17,1,19,88,1,4,136,efbeadde1100000000000f000a00011305580000010001000004646464646464646464646464646464646464646464646464646464646464646464646464646464646464640000006400000064000000000000008800000008000000040000000100000010ff0eff
18,3735928559,18,1,12,88,0,13,70,efbeadde1200000000000f000a00010c0558000000000000ff0d646464646464646464646464646464646464646464646464646400646464646464646464646464646464640000006400000064000000000000004600000008000000050000000200000010ff0eff
19,3735928559,19,1,20,88,1,12,82,efbeadde1300000000000f000a0001140558000000000100000c646464646464646464646464646464646464646464646464646464640064646464646464646464646464640000006400000064000000000000005200000008000000050000000000000010ff0eff
20,3735928559,20,1,2,88,8,9,213,efbeadde1400000000000f000a0001021258000000000828ff09646464646464646464646464646464646464646464646464640a646464640a646464646464646464646464000000640000006400000000000000d500000008000000050000000000000010ff0eff
21,3735928559,21,1,20,88,7,8,33,efbeadde1500000000000f000a00011405580000010007ffff08646464646464646400646464646464646464646464646464646464646464646464646464646464646464640000006400000064000000000000002100000008000000050000000100000010ff0eff
22,3735928559,22,1,23,88,7,7,200,efbeadde1600000000000f000a00011705580000000007ffff0764646464646464643232646464646464646464646464646464646464646464646464966464646464646464000000640000006400000000000000c800000008000000050000000100000010ff0eff
23,3735928559,23,1,13,88,1,0,100,efbeadde1700000000000f000a00010d05580000000001000000646464646464646464646464646464646464646464646464646464646464646464646464646464646464640000006400000064000000000000006400000008000000040000000200000010ff0eff
24,3735928559,24,1,2,88,4,4,100,efbeadde1800000000000f000a00010205580000000004001404646464646464646464646464646464646464646464646464646464646464646464646464646464646464640000006400000064000000000000006400000002000000010000000200000010ff0eff
